Country,Happiness Rank,Happiness Score,Corruption,Human Development Index,Life Expectancy at Birth,Mean Years of Schooling,GDP Per Capita,Inequality in eduation,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Carbon dioxide emissions per capita (production) (tonnes),Year
Croatia,74,5.488,0.04002,0.848,78.2314,11.78733331,25176.61379,5.0064,0.157,7,4.296699949,2016
Turkey,78,5.389,0.12348,0.823,76.6605,8.099840164,26159.38035,14.06143585,0.323,18,5.026310923,2016
Indonesia,79,5.314,0.00322,0.699,69.7976,7.976150036,10197.40112,16.15374573,0.469,184,2.144264261,2016
Jordan,80,5.303,0.13297,0.718,75.2153,10.16455984,9959.457292,16.9017,0.442,47,2.548133895,2016
Azerbaijan,81,5.291,0.17914,0.75,72.0039,10.55539989,13401.18041,3.549496613,0.328,26,3.805930192,2016
Philippines,82,5.279,0.11757,0.7,71.3871,8.621369839,8564.17134,11.5562,0.422,124,1.179170367,2016
China,83,5.245,0.02745,0.74,77.2177,7.299972725,13332.38637,11.68,0.221,29,6.874190136,2016
Bhutan,84,5.196,0.1616,0.638,70.6022,3.690095949,9850.590693,44.81067,0.486,193,1.569549944,2016
Kyrgyzstan,85,5.185,0.04762,0.693,70.2761,11.35618418,4659.189545,4.97927,0.385,63,1.588026992,2016
Serbia,86,5.177,0.04339,0.8,76.2609,11.13010025,15294.10288,8.13212,0.145,12,5.08636641,2016
Bosnia and Herzegovina,87,5.163,0,0.77,76.8083,9.692919731,13215.3302,16.97493881,0.167,10,6.418279013,2016
Montenegro,88,5.161,0.12721,0.824,76.7462,11.83377704,18948.91492,7.36696,0.126,6,3.212682379,2016
Dominican Republic,89,5.155,0.12372,0.755,72.9867,9.044050217,15462.20861,17.64944,0.457,94,2.370187909,2016
Hungary,91,5.145,0.04472,0.843,76.1552,11.88941002,27615.68144,3.21994,0.252,12,4.826424758,2016
Pakistan,92,5.132,0.1388,0.541,65.8797,5.162640095,4337.277938,44.39953,0.545,143,1.016634212,2016
Lebanon,93,5.129,0.03061,0.743,79.5054,8.554324481,15891.85225,6.177,0.464,29,3.946930431,2016
Portugal,94,5.123,0.01521,0.853,81.2324,9.112580299,31170.51606,16.30882,0.078,9,4.88674779,2016
Tunisia,98,5.045,0.0817,0.737,75.7861,7.196720123,10821.75244,34.57692,0.273,45,2.56616606,2016
Greece,99,5.033,0.04127,0.877,81.1617,10.25430012,28194.52399,13.11876,0.124,3,6.723641651,2016
Tajikistan,100,4.996,0.13509,0.66,69.5493,11.38479379,3542.610803,6.54325,0.295,17,0.74333021,2016
Mongolia,101,4.907,0.03285,0.733,69.8647,9.670928192,10176.56453,11.9202,0.33,46,8.286545712,2016
Nigeria,103,4.875,0.0305,0.521,52.0427,6.436573823,5160.489945,43.81248,0.672,925,0.622827758,2016
Honduras,104,4.871,0.06906,0.618,72.5878,6.528709888,5020.829616,22.78421,0.423,65,1.002395156,2016
Iran,105,4.813,0.0557,0.786,75.6,10.31394005,14245.07437,4.984428444,0.457,16,8.010678047,2016
Zambia,106,4.795,0.11479,0.564,61.7937,6.802171326,3237.50565,21.73491,0.545,222,0.345837659,2016
Nepal,107,4.793,0.07008,0.586,68.7758,4.652394104,3356.592607,40.881,0.479,200,0.357988666,2016
Albania,109,4.655,0.05301,0.798,78.8602,10.72752833,12484.6242,11.9,0.191,16,1.556278015,2016
